I'm from Italy.,Soy de Italia.,Used to indicate one's country of origin.,I'm from Italy.
I'm okay,Estoy bien,A simple response indicating that one is doing well.,"When asked about her health, she said, ""I'm okay."""
Ice,Hielo,Frozen water.,The lake is covered with ice in the winter.
Ice cream,Helado,"A frozen dessert made from dairy products, sugar, and flavorings.",We had ice cream for dessert.
Ice skate,Patinar sobre hielo,To glide on ice using ice skates.,They love to ice skate in the winter.
Idea,Idea,A thought or suggestion about a possible course of action.,I have a great idea for our project.
Imperative,Imperativo,A grammatical mood used to give commands or make requests.,"""Sit down"" is an imperative sentence."
Imperative form,Forma imperativa,The form of a verb used to give commands or instructions.,"""Close the door"" is in the imperative form."
Important,Importante,Of great significance or value.,It is important to eat healthy.
In,En,A preposition used to indicate location or position within something.,The keys are in the drawer.
In a minute,En un minuto,A phrase used to indicate that something will happen very soon.,"""I'll be there in a minute,"" he promised."
In front of,Delante de,Indicates a position ahead or before something.,The car is parked in front of the building.
In order to,Para,Used to express the purpose or reason for something.,She studies hard in order to pass her exams.
Indefinite,Indefinido,Not clearly defined or determined.,An indefinite article is used when referring to something not specific.
Information,Información,Facts or details about a subject.,I need more information about the project.
Inside,Adentro,Refers to the internal side of something.,The keys are inside the drawer.
Install,Instalar,To set up or put something in place for use.,He installs new software on his computer.
Instructions,Instrucciones,Directions or guidelines on how to do something.,The teacher gave clear instructions for the assignment.
Instruments,Instrumentos,"Tools or devices used to perform specific tasks, especially in music.",He plays several musical instruments.
Inteligent,Inteligente,Having or showing intelligence.,The intelligent student solved the problem.
Into,Dentro de,Indicates movement toward the inside of something.,She went into the house.
Introduce,Presentar,To make someone known by name to another person.,Let me introduce you to my friend.
Iron,Plancha,A device used to press clothes to remove wrinkles.,She used an iron to smooth her shirt.
Is there any sugar?,¿Hay algo de azúcar?,Used to ask if there is any sugar present.,Is there any sugar in the tea?
It,Eso / Él / Ella (para objetos o animales),"Personal pronoun used to refer to objects, animals, or concepts.",It is a sunny day.
Its,Su(s) - de eso,"A possessive adjective used to indicate ownership or association with an object, animal, or concept.",The cat licked its paw.
Jacket,Chaqueta,"A piece of clothing worn on the upper body, typically with sleeves and a front opening.",He is wearing a leather jacket.
January,Enero,The first month of the year.,My birthday is in January.
Jar,Tarro / Frasco,"A cylindrical container with a wide mouth, used for storing food or other items.",I keep cookies in a glass jar.
Jeans,Vaqueros / Pantalones vaqueros,Casual pants made of denim fabric.,He is wearing blue jeans.
Job,Trabajo / Empleo,A paid position of regular employment.,He found a new job last week.
Juice,Jugo / Zumo,A liquid extracted from fruits or vegetables.,I drink orange juice for breakfast.
July,Julio,The seventh month of the year.,Independence Day is in July.
Jump,Saltar,To push oneself off the ground and into the air using the legs.,The kids love to jump on the trampoline.
June,Junio,The sixth month of the year.,School ends in June.
Key,Llave,A small metal object used to open locks.,He used a key to unlock the door.
Keyboard,Teclado,A set of keys used to input data into a computer.,He typed the report using the keyboard.
Kid,Niño / Niña,An informal term for a child.,The kids are having fun at the playground.
Kind,Amable,Friendly and nice to other people.,She is very kind to everyone she meets.
Kiss,Beso,"A touch or caress with the lips as a sign of love, affection, or greeting.",They shared a kiss under the mistletoe.
Kisses,Besos,When you touch someone with your lips to show love or care.,She gave her mother kisses before leaving.
Knife,Cuchillo,A tool with a sharp blade used for cutting.,Be careful when using a knife to chop vegetables.
Lamb chops,Chuletas de cordero,Cuts of meat from the rib or loin of a lamb.,He grilled lamb chops with rosemary and garlic.
Language,Idioma / Lengua,A system of communication used by a particular community or country.,English is a widely spoken language.
Last name,Apellido,The family name that comes after a person's first name.,Her last name is Morales.
Late,Tarde,After the expected or usual time.,I am late for the meeting.
Laugh,Reír,To make sounds and movements of the face and body that express amusement or happiness.,They laugh at funny jokes.
Lay,Acostar / Poner,To place something down in a flat position.,She lays the book on the table.
Leather,Cuero,A durable and flexible material made from animal skin.,The jacket is made of leather.
Leave,Salir / Irse,To go away from a place.,They will leave the party early.
Legs,Piernas,The parts of the body we use to stand and walk.,He ran fast using his strong legs.
Lemon,Limón,A yellow citrus fruit known for its sour taste.,I squeezed lemon juice into my tea.
Lesson,Lección,A unit of teaching or instruction.,We have a new lesson today.
Let's go,Vamos,An expression used to suggest going somewhere.,Let's go to the park.
Lettuce,Lechuga,A leafy green vegetable often used in salads.,I made a salad with lettuce and tomatoes.
Library,Biblioteca,A place where books and other materials are kept for reading or borrowing.,I borrowed a book from the library.
Lie,Mentir / Yacer,To be in a horizontal position / To tell an untruth.,He lies on the bed to rest. / She lies about her age.
Light,Luz,The natural agent that makes things visible.,The room is filled with light from the windows.
Light green,Verde claro,A pale shade of green.,The leaves on the trees are light green in spring.
Like,Gustar,To find something enjoyable or agreeable.,I like reading books in my free time.
Listen to,Escuchar,To pay attention to sound.,She loves to listen to music.
Listen to me,Escúchame,A phrase used to ask someone to pay attention to what you are saying.,"""Listen to me,"" the teacher said to the students."
Lobster,Langosta,"A large marine crustacean with a hard shell, prized as food.",He ordered a lobster dinner at the restaurant.
Long,Largo,Measuring a great distance from end to end.,The long road leads to the city.
Look at,Mirar,To direct one's gaze towards something or someone.,Look at the beautiful sunset.
Lose,Perder,To be unable to find something or someone.,I always lose my keys when I'm in a hurry.
Love,Amor,A deep feeling of affection and care.,Love is an important part of life.
Lovely,Encantador / Encantadora,"Something or someone that is delightful, charming, or beautiful.",She has a lovely smile.
Lunch,Almuerzo,A meal eaten in the middle of the day.,We usually have lunch at noon.
Made of,Hecho de,Used to indicate the material from which something is made.,The table is made of wood.
Mall,Centro comercial,A large building or complex containing various shops and businesses.,We went shopping at the mall.
Man,Hombre,An adult male human being.,The man is reading a newspaper.
Many,Muchos / Muchas,A large number of people or things.,There are many stars in the sky.
March,Marzo,The third month of the year.,Spring begins in March.
Marker,Marcador,"A writing instrument with a broad tip, used for making marks or highlighting text.",I use a marker to highlight important information.
Market,Mercado,A place where goods and services are bought and sold.,She went to the market to buy fresh vegetables.
Married,Casado / Casada,The state of being legally united to a spouse.,They are married and have two children.
Marry,Casar,To enter into a legal marriage with someone.,They decided to marry after dating for five years.
Mashed potatoes,Puré de papas,Potatoes that have been boiled and then mashed to a smooth consistency.,She served mashed potatoes with gravy.
Match,Partido / Coincidir,A sports competition or game; to pair or correspond.,The soccer match was exciting. / Their interests match perfectly.
Materials,Materiales,Things used to make or build something.,The project requires various materials like wood and paint.
Mattress,Colchón,A large pad used for sleeping on a bed.,The mattress is very comfortable.
May,Mayo,The fifth month of the year.,May is a popular month for weddings.
Mechanic,Mecánico,A person who repairs and maintains vehicles.,The mechanic fixed the car's engine.
Medicine,Medicina,A substance used to treat illness or injury.,The doctor prescribed medicine for my cold.
Meet,Encontrarse / Reunirse,To come together with someone.,We will meet at the café.
Meeting,Reunión,When people come together to talk or decide something.,We have a meeting scheduled for tomorrow.
Message,Mensaje,Words you send or give to another person.,I received a message from my friend yesterday.
Middle name,Segundo nombre,A name given to a person that is between their first and last names.,My middle name is Franchesco.
Milionaire,Millonario / Millonaria,A person who has a net worth of at least one million units of currency.,He became a millionaire through his business.
Milk,Leche,"A white liquid produced by mammals, commonly consumed as a beverage.",I drink milk every morning.
Mirror,Espejo,A thing made of glass where you can see your reflection.,I checked myself in the mirror before leaving the house.
Mom,Mamá,A female parent.,My mom makes the best cookies.
Monday,Lunes,The first day of the week.,I have a meeting on Monday.
Money,Dinero,A medium of exchange in the form of coins and banknotes.,He saved enough money to buy a new car.
Moon,Luna,"The natural satellite of the Earth, visible at night.",The moon shines brightly in the night sky.
More,Más,"A greater quantity, amount, or degree.",I need more time.
Mother,Madre,A female parent.,My mother cooks delicious meals.
Mountains,Montañas,Large natural elevations of the earth's surface.,They went hiking in the mountains last summer.
Mouse,Ratón,A small rodent; also a computer input device.,The mouse ran across the floor. / Click the mouse to select the icon.
Mushrooms,Champiñones,Edible fungi that are often used in cooking.,They sautéed mushrooms with garlic and butter.
My,Mi(s),A possessive adjective used to indicate ownership or association with the speaker.,This is my book.
My brother is about the same,Mi hermano es más o menos igual,A phrase used to compare someone to another person in terms of characteristics or abilities.,"""My brother is about the same as me in height,"" she explained."
Napkin,Servilleta,A piece of cloth or paper used at meals to wipe the mouth and hands.,Please pass me a napkin.
Nationality,Nacionalidad,The status of belonging to a particular nation.,What is your nationality?
Navy,Marino,A dark shade of blue.,He wore a navy suit.
Necessary,Necesario,Required to be done or achieved.,It is necessary to study for the exam.
Need,Necesitar,To require something because it is essential or very important.,You need to study hard to pass the exam.
Negative,Negativo,A statement that expresses denial or refusal.,His answer was negative; he cannot come to the party.
Neighbor,Vecino,A person who lives near your house.,Our neighbor is very friendly and helpful.
Nephew,Sobrino,The son of one's sibling.,My nephew is very energetic.
New,Nuevo / Nueva,"Something that has recently come into existence or has been made, acquired, or discovered.",I bought a new car.
Newscaster,Locutor de noticias,A person who presents news on television or radio.,The newscaster reported the latest events.
Newspaper,Periódico,"A printed publication containing news, articles, and advertisements.",He reads the newspaper every morning.
Next to,Al lado de,Indicates a position beside or adjacent to something.,The bank is next to the grocery store.
Nice,Agradable / Simpático,Pleasant or enjoyable; friendly and kind.,She is a nice person.
Niece,Sobrina,The daughter of one's sibling.,My niece is very creative.
Night table,Mesa de noche,A small table placed beside a bed.,She keeps a lamp on her night table.
Nightgown,Camisón,A loose-fitting garment worn by women for sleeping.,She wore a comfortable nightgown to bed.
Note,Nota,"A brief record of facts, topics, or thoughts.",I wrote a note to remind myself.
Notebook,Cuaderno,A book of blank or ruled pages for writing notes.,I keep my class notes in a notebook.
November,Noviembre,The eleventh month of the year.,Thanksgiving is in November.
Number,Número,A mathematical value used for counting or measuring.,The number five comes after four.
Nurse,Enfermero / Enfermera,"A person who cares for the sick or injured, typically in a hospital.",The nurse took care of the patients.
Nylon,Nailon,A synthetic fabric known for its strength and elasticity.,The bag is made of nylon.
Object,Objeto,A material thing that can be seen and touched.,The vase is a beautiful object on the table.
Object pronouns,Pronombres de objeto,Pronouns that receive the action of the verb in a sentence.,"In ""She sees him,"" ""him"" is an object pronoun."
Oceans,Océanos,Large bodies of saltwater that cover most of the Earth's surface.,The oceans are home to many marine species.
October,Octubre,The tenth month of the year.,Halloween is in October.
Office,Oficina,"A room or building where people work, typically for administrative or professional tasks.",She works in an office downtown.
Old,Viejo,Having lived for a long time; not young.,The old house is haunted.
Olive,Oliva,A dark yellowish-green color.,The olive tree is beautiful.
Omelette,Tortilla (de huevo),A dish made from beaten eggs cooked with various ingredients.,I had an omelette for breakfast.
On,Sobre / En,A preposition used to indicate position above or in contact with a surface.,The book is on the table.
Onion,Cebolla,"A vegetable with a strong flavor and smell, often used in cooking.",I chopped an onion for the recipe.
Operate,Operar,To control or manage a machine or system.,He operates the machinery at work.
Orange,Naranja,"A round citrus fruit with a tough skin and sweet, juicy flesh.",I like to drink orange juice.
Orange juice,Jugo de naranja,A beverage made by extracting the liquid from oranges.,I like to have a glass of orange juice with my breakfast.
Order,Ordenar,"To arrange or request something to be made, supplied, or served.",I would like to order a pizza for delivery.
Our,Nuestro(s) / Nuestra(s),A possessive adjective used to indicate ownership or association with a group that includes the speaker.,This is our school.
Out of,Fuera de,Indicates being beyond the limits of something.,He stepped out of the room.
Outbox,Bandeja de salida,A tray used to hold outgoing mail or documents.,She placed the letters in the outbox.
Outside,Afuera,Refers to the external side of something.,The kids are playing outside.
Over,Sobre / Encima de,Indicates a position higher than something else.,The lamp is over the table.
Ownership,Propiedad,The state or fact of owning something.,The ownership of the car is in my name.
Ox,Buey,A domesticated bovine animal used for work or meat.,The ox pulled the cart.
Pain,Dolor,A bad feeling in your body when you are hurt or sick.,He felt a sharp pain in his leg.
Paint,Pintar,To apply color to a surface using a brush or other tools.,She paints pictures as a hobby.
Panties,Bragas / Calzones,A piece of women's underwear that covers the lower part of the body.,She packed her panties for the trip.
Parent,Padre/Madre,A mother or father.,My parent is my role model.
Party,Fiesta,"A time when people meet to have fun, eat, or dance.",We are throwing a birthday party for my sister.
Pear,Pera,A sweet fruit with a rounded base and tapering top.,I ate a pear for a snack.
Peas,Guisantes / Chícharos,"Small, round green vegetables that grow in pods.",I like to eat peas with my meals.
Pen,Bolígrafo / Pluma,A writing instrument that uses ink to write on paper.,I wrote a letter using my favorite pen.
Pencil,Lápiz,A writing instrument made of wood or plastic with a graphite core.,I need a pencil to write.
People,Gente / Personas,Human beings in general or a group of individuals.,There are many people at the event.
Pet,Mascota,An animal you keep at home for fun or company.,I have a pet dog named Rex.
Pharmacist,Farmacéutico,A person who prepares and dispenses medications.,The pharmacist filled my prescription.
Photographer,Fotógrafo,A person who takes photographs professionally or as a hobby.,The photographer captured beautiful images of nature.
Pick up,Recoger,To lift something from a surface.,Please pick up your toys.
Picture,Imagen / Foto,"A visual representation of something, such as a photograph or drawing.",I took a picture of the sunset.
Pillow,Almohada,A soft object used to support the head while sleeping.,I like to sleep with a soft pillow.
Pillowcase,Funda de almohada,A cover for a pillow.,She changed the pillowcase before going to bed.
Pink,Rosa,The color of cotton candy and flowers.,The dress is pink.
Pitcher,Jarra,A container with a handle and spout used for pouring liquids.,I poured water from the pitcher into my glass.
Place,Colocar,To put something in a particular position.,She placed the vase on the table.
Plaid,A cuadros,A pattern consisting of crossed horizontal and vertical bands in two or more colors.,The skirt has a plaid design.
Plant,Planta,A living organism that typically grows in soil and has leaves and stems.,I have a plant on my desk.
Plate,Plato,A flat dish used for serving food.,The plate is full of delicious food.
Play,Jugar,"To do something for fun, not for work.",The children love to play in the park.
Play music,Tocar música,To perform music using an instrument or voice.,He plays music in a band.
Pleasant,Agradable / Placido,Giving a sense of happy satisfaction or enjoyment.,We had a pleasant walk in the park.
Please,Por favor,A polite way to ask for something.,Could you please help me?
Pleasure,Placer,A feeling of happiness or satisfaction.,It was a pleasure to meet you.
Plumber,Plomero,A person who installs and repairs water supply and drainage systems.,The plumber fixed the leaking faucet.
Plural,Plural,A grammatical form used to indicate more than one person or thing.,"The plural of ""cat"" is ""cats."""
Polka-dot,De lunares,A pattern consisting of an array of filled circles.,The dress has a polka-dot pattern.
Polyester,Poliéster,A synthetic fabric that is durable and resistant to shrinking and stretching.,The dress is made of polyester.
Poster,Póster,A large printed picture or advertisement.,He put a poster of his favorite band on the wall.
Print,Estampado,A pattern or design printed on fabric.,The blouse has a floral print.
Printer,Impresora,A device that produces physical copies of digital documents.,He printed the report using the printer.
Printout,Impresión,A physical copy of a digital document.,She reviewed the printout of her essay.
Projector,Proyector,A device that projects images or videos onto a surface.,The teacher used a projector for the presentation.
Pronoun,Pronombre,A word that takes the place of a noun in a sentence.,"""He"" is a pronoun used to refer to a male individual."
Propose to,Proponer matrimonio,To ask someone to marry you.,He plans to propose to his girlfriend next month.
Pullover,Suéter / Jersey,A knitted garment worn on the upper body for warmth.,She is wearing a woolen pullover.
Purple,Púrpura,A color between blue and red.,The sky turned purple at sunset.
Purse,Bolso,A small bag used by women to carry personal items.,She carries her wallet and keys in her purse.
Put,Poner,To place something in a particular position.,Put the book on the table.
Put (on),Ponerse,To place clothing or accessories on one's body.,She will put on her jacket before going outside.
Question,Pregunta,Something you ask to get information.,She asked a question about the homework.
Questionnaire,Cuestionario,A set of printed or written questions used for gathering information.,The survey included a detailed questionnaire.
Radio,Radio,A device used to receive and play audio broadcasts.,I listen to music on the radio.
Raincoat,Impermeable,A waterproof coat worn to protect against rain.,He wore a raincoat during the storm.
Raspberry ice cream,Helado de frambuesa,A frozen dessert made with raspberries and cream.,She enjoyed a scoop of raspberry ice cream on a hot day.
Razor blade,Hoja de afeitar,"A thin, sharp piece of metal used for shaving.",He replaced the razor blade in his razor.
Read,Leer,To look at and comprehend the meaning of written or printed matter.,He likes to read books before bed.
Reading,Lectura,The action or skill of reading written or printed matter silently or aloud.,She enjoys reading books.
Really,Realmente,Used to emphasize a statement or opinion.,I really like this song.
Red,Rojo,The color of fire and blood.,She wore a red dress.
Refrigerator,Refrigerador,An appliance used to keep food and drinks cold.,I store my groceries in the refrigerator.
Relatives,Parientes,People related by blood or marriage.,I visit my relatives during the holidays.
Remote control,Control remoto,A device used to operate electronic equipment from a distance.,I use the remote control to change the TV channels.
Repair,Reparar,To fix or restore something that is broken or damaged.,He repairs cars in his garage.
Research,Investigación,The systematic investigation into and study of materials and sources.,He conducted research for his thesis.
Rest,Descanso,A period of time spent doing nothing or sleeping.,"After a long day, I need some rest."
Restaurant,Restaurante,A place where meals are prepared and served to customers.,We went to a restaurant for dinner.
Rice,Arroz,A staple food made from the grains of the rice plant.,I cooked rice for dinner.
Rich,Rico / Rica,Having a great deal of money or assets; wealthy.,He is a rich businessman.
Ride,Montar,To sit on and control the movement of an animal or vehicle.,He likes to ride his bike in the park.
Right away,Enseguida / Ahora mismo,Immediately; without delay.,I will do it right away.
Right now,Ahora mismo,At this very moment.,I am busy right now.
Ring,Anillo,A circular band worn on the finger as jewelry or a symbol.,She wears a ring on her finger.
Ring binder,Archivador de anillas,A binder with rings used to hold punched documents.,He organized his notes in a ring binder.
Ripe,Maduro / Madura,A fruit or vegetable that is fully developed and ready to eat.,The bananas are ripe.
Robe,Bata,"A loose-fitting garment worn over clothes, often used for lounging or after bathing.",She put on a robe after her shower.
Roller skate,Patinar sobre ruedas,To glide on a hard surface using roller skates.,She enjoys roller skating at the rink.
Rug,Alfombra pequeña,A small piece of thick fabric used to cover part of a floor.,The rug in the hallway is very colorful.
Ruler,Regla,A tool used for measuring length or drawing straight lines.,The student used a ruler to draw a straight line.
Run,Correr,To move quickly on foot.,They run in the park every morning.
Sad,Triste,Feeling unhappy or not good.,She felt sad after hearing the bad news.
Sail,Navegar,To travel on water in a boat or ship.,They will sail across the lake this afternoon.
Sailor,Marinero,A person who works on a ship or boat.,The sailor navigated the ship through rough waters.
Same,Mismo / Misma,Identical or unchanged.,We have the same shoes.
Sand,Arena,Fine particles of rock and mineral found on beaches and deserts.,The children are playing in the sand.
Saturday,Sábado,The sixth day of the week.,I like to relax on Saturday.
Saucer,Platillo,"A small, shallow dish used to hold a cup.",I placed my teacup on the saucer.
Saw,Serruchar,To cut something using a saw.,He saws wood to make furniture.
Scarf,Bufanda,A piece of fabric worn around the neck for warmth or fashion.,She wore a red scarf.
School,Escuela,An institution for educating children or providing instruction in a particular subject.,The children go to school every day.
Screen,Pantalla,A surface on which images and data are displayed.,She adjusted the brightness of the computer screen.
Sea,Mar,A large body of saltwater that covers most of the Earth's surface.,We went swimming in the sea.
Seaside,Costa,The area where the land meets the sea.,We stayed at a hotel by the seaside.
Seat,Asiento,"A place to sit, such as a chair or bench.",Please take a seat.
See,Ver,To perceive with the eyes.,I can see the mountains from my window.
See you later,Nos vemos luego,A phrase used to say goodbye with the intention of meeting again.,See you later at the party.
Sell,Vender,To exchange goods or services for money.,She sells handmade crafts at the market.
Sentence,Oración,A set of words that express a complete thought.,This is a simple sentence.
September,Septiembre,The ninth month of the year.,School starts in September.
Shake,Sacudir,To move something back and forth or up and down with quick movements.,He had to shake the bottle before opening it.
Shampoo,Champú,A liquid used for washing hair.,She washed her hair with shampoo.
Sharpener,Sacapuntas,A device used to sharpen pencils.,I need a sharpener for my pencil.
Shaving cream,Crema de afeitar,A cream applied to the skin to soften hair before shaving.,He applied shaving cream before using the razor.
Shaving kit,Kit de afeitado,A set of tools and products used for shaving.,He bought a new shaving kit for his grooming routine.
She,Ella,Personal pronoun used to refer to a female individual.,She is my sister.
She's getting a suntan,Ella se está bronceando.,To become darker in color due to exposure to the sun.,She's getting a suntan at the beach.
She's wearing a pink bathing suit,Ella está usando un traje de baño rosa.,To have clothing or accessories on one's body.,She's wearing a pink bathing suit at the beach.
Sheets,Sábanas,Pieces of fabric used to cover a mattress.,She changed the sheets on the bed.
Shelf,Estante,A flat horizontal surface used for storing or displaying items.,I keep my books on the shelf.
Shine,Brillar,To emit light or reflect light brightly.,The sun shines in the sky.
Shirt,Camisa,"A garment worn on the upper body, typically with buttons down the front.",He is wearing a white shirt.
Shirts,Camisas,Clothes we wear on the top part of our body.,I have several shirts in my wardrobe.
Shoes,Zapatos,Things you wear on your feet to protect them.,I bought a new pair of shoes for the event.
Shop,Tienda,A place where goods are sold.,I went to the shop to buy groceries.
Shopping center,Centro comercial,A large building or complex with many stores and businesses.,We went to the shopping center for some shopping.
Shore,Orilla,The land along the edge of a body of water.,We walked along the shore.
Short,Corto / Bajo,Measuring a small distance from end to end; not tall.,The short man is my uncle.
Shovel,Pala,A tool with a broad blade and handle used for digging or moving material.,He used a shovel to dig a hole.
Show,Mostrar,To present or display something.,Please show me your ID.
Shower,Ducha,A device that sprays water for bathing.,She took a shower after her workout.
Shrimp,Camarón,A small marine crustacean with a slender body and long antennae.,They grilled shrimp for the barbecue.
Sibling,Hermano/a,A brother or sister.,My sibling is my best friend.
Silk,Seda,"A natural fiber produced by silkworms, known for its softness and sheen.",The scarf is made of silk.
Silver,Plateado,The color of silver.,The necklace is silver.
Single,Soltero / Soltera,The state of not being married or in a romantic relationship.,He is single and enjoys his independence.
Singular,Singular,A grammatical form used to indicate one person or thing.,"The singular form of ""dogs"" is ""dog."""
Sip,Sorber,To drink a liquid slowly in small amounts.,She sips her tea carefully.
Sister,Hermana,A female sibling.,My sister is very talented.
Skirt,Falda,A piece of clothing that hangs from the waist and covers the lower part of the body.,She is wearing a red skirt.
Sky,Cielo,The expanse of air over the Earth.,The sky is clear and blue today.
Sleep,Dormir,To rest in a state of unconsciousness.,He sleeps for eight hours every night.
Small,Pequeño,Of a size that is less than normal or usual.,The small dog barked.
Smart,Inteligente,Having or showing a high level of intelligence or cleverness.,She is very smart and always gets good grades.
Smoke,Fumar,To inhale and exhale the smoke of tobacco or other substances.,He decided to quit smoking for his health.
Sneakers,Zapatillas deportivas,Casual athletic shoes designed for comfort and everyday wear.,She bought new sneakers for running.
So many,Tantos / Tantas,A large number of people or things.,There are so many books in the library.
Sofa,Sofá,"A comfortable seat for multiple people, typically upholstered.",We sat on the sofa to watch a movie.
Soldier,Soldado,A person who serves in an army.,The soldier defended his country.
Solid,Sólido,Firm and stable in shape; not liquid or fluid.,The table is made of solid wood.
Some,Algún / Alguna,Used to refer to an unspecified amount or number of something.,I have some friends coming over.
Son,Hijo,A male child of one's parent.,My son is very curious.
Sorry,Lo siento,An expression of apology.,I am sorry for being late.
Spaghetti,Espaguetis,"A type of long, thin pasta made from wheat flour and water.",She cooked spaghetti with tomato sauce for dinner.
Speak,Hablar,To communicate using words.,She can speak three languages.
Speech,Discurso,Talking in front of people to share ideas or feelings.,He gave a powerful speech at the conference.
Spell,Deletrear,To write or name the letters of a word in the correct order.,Can you spell your name for me?
Spend,Gastar / Pasar,To use money to buy something / To pass time doing something.,He spends money on clothes. / They spend time together on weekends.
Spoon,Cuchara,A utensil used for eating or serving food.,I use a spoon to eat soup.
Spouse,Cónyuge,A husband or wife.,My spouse is my best friend.
Spring,Primavera,The season between winter and summer.,We like to go for walks in spring.
Stairs,Escaleras,A set of steps that connect different levels of a building.,He climbed the stairs to the second floor.
Stapler,Grapadora,A device used to fasten sheets of paper together with staples.,He used a stapler to attach the documents.
Start,Empezar / Comenzar,To begin an activity or process.,They will start the project next week.
Statement,Declaración,A sentence that expresses an idea or fact.,The teacher made a statement about the homework.
Stay,Quedarse,To remain in a particular place or condition.,We will stay at the hotel for two nights.
Steak,Bistec,"A slice of meat, typically beef, that is cooked by grilling or frying.",He ordered a medium-rare steak at the restaurant.
Stereo,Estéreo,A system for reproducing sound using two or more channels to create a sense of spatial distribution.,I listen to music on my stereo system.
Stove,Estufa,A device used for cooking or heating food.,She cooked dinner on the stove.
Straight,Recto / Derecho,Extending in one direction without curves.,Draw a straight line.
String beans,"Ejotes (vainitas, judías verdes)","A type of green vegetable that is long and thin, often used in cooking.",She steamed string beans as a healthy side dish.
Striped,A rayas,Having stripes or bands of color.,She is wearing a striped shirt.
Strong,Fuerte,Having great physical power or strength.,The strong athlete won the race.
Student,Estudiante,A person who is learning.,I am a student at the local high school.
Subject,Sujeto,The person or thing that performs the action in a sentence.,"The subject of the sentence is ""The cat."""
Sugar,Azúcar,"A sweet substance derived from sugarcane or sugar beets, used to sweeten food and drinks.",I put sugar in my coffee.
Summer,Verano,The warmest season of the year.,We go to the beach in summer.
Sun,Sol,The star at the center of our solar system that provides light and heat to the Earth.,The sun is shining brightly.
Sunday,Domingo,The seventh day of the week.,We go to church on Sunday.
Sunset,Atardecer / Puesta de sol,The time in the evening when the sun goes below the horizon.,We watched the beautiful sunset.
Sweat suit,Chándal,"A set of clothing consisting of a sweatshirt and sweatpants, typically worn for exercise or casual wear.",He wore a sweat suit to the gym.
Sweater,Suéter,A knitted garment worn on the upper body for warmth.,She is wearing a warm sweater.
Swim,Nadar,To move through water using the limbs.,They swim in the pool during summer.
Swimming pool,Piscina,A large container filled with water for swimming.,They spent the afternoon at the swimming pool.
Swimming trunks,Bañador / Pantalones de baño,A type of swimwear worn by men for swimming.,He wore swimming trunks at the beach.
T-shirt,Camiseta,A casual shirt with short sleeves and no collar.,He is wearing a blue T-shirt.
Table,Mesa,"A piece of furniture with a flat top and legs, used for eating or working.",We sat at the table for dinner.
Table cloth,Mantel,A piece of fabric used to cover a table.,The tablecloth is decorated with flowers.
Tables,Mesas,"Furniture with a flat top and legs, used for eating or working.",We eat dinner at the dining tables.
Take,Tomar,To get hold of something with your hands.,Please take a seat and make yourself comfortable.
Take a shower,Tomar una ducha,To wash oneself under a spray of water.,He likes to take a shower in the morning.
Take off,Despegar,When an aircraft leaves the ground and begins to fly.,The plane will take off in a few minutes.
Talcum powder,Polvo de talco,A fine powder used to absorb moisture and reduce friction on the skin.,She applied talcum powder after her shower.
Talk,Hablar,To communicate using spoken words.,They talk on the phone every day.
Tall,Alto,Having a greater than average height.,The tall man is my father.
Teacher,Profesor/a,A person who helps others learn.,My teacher is very kind.
Tear,Lagrima,"A drop of clear, salty liquid produced by glands in the eyes.",She wiped away a tear from her cheek.
Teaspoon,Cucharita,A small spoon used for stirring tea or coffee.,I used a teaspoon to add sugar to my tea.
Television,Televisión,"A system for transmitting visual images and sound that are reproduced on screens, primarily used to broadcast programs for entertainment, information, and education.",I watch my favorite shows on television every evening.
Tennis shoes,Zapatillas de tenis,Athletic shoes designed for playing tennis.,She bought new tennis shoes for the match.
Terrific,Estupendo / Fantástico,Something that is extremely good or impressive.,The concert was absolutely terrific.
Thank you,Gracias,A polite expression of gratitude.,Thank you for your help.
That,Ese / Esa,A demonstrative pronoun used to refer to a specific person or thing that is farther from the speaker.,That is my house.
That's great,Eso es genial,A phrase used to express enthusiasm or approval about something.,"""You got the job? That's great!"""
That's right,Eso es correcto,A phrase used to confirm that something is correct or true.,"""2 + 2 = 4."" ""That's right!"""
The,El / La,Definite article used to refer to a specific item or items.,The book is on the table.
Their,Su(s) - de ellos/ellas,A possessive adjective used to indicate ownership or association with a group of people or things.,That is their car.
There are a few apples,Hay unas pocas manzanas,Used to indicate a small number of apples.,There are a few apples in the fridge.
There are three apples,Hay tres manzanas,Used to indicate the number of apples.,There are three apples on the table.
There is a little sugar,Hay un poco de azúcar,Used to indicate a small amount of sugar.,There is a little sugar in the bowl.
There is also a closet,También hay un armario.,A sentence used to indicate the presence of a closet.,There is also a closet for storing clothes.
There is my office,Ahí está mi oficina.,A sentence used to point out one's office.,There is my office where I do my work.
There you go,Ahí tienes,A phrase used when handing something to someone.,"There you go, your book."
These,Estos / Estas,A demonstrative pronoun used to refer to multiple people or things that are close to the speaker.,These are my books.
They,Ellos / Ellas,Personal pronoun used to refer to a group of people or things.,They are my friends.
They're having a good time,Ellos lo están pasando bien.,To enjoy oneself; to have fun.,They're having a good time at the party.
Thick,Grueso,Having a large distance between opposite sides.,The wall is thick.
Thin,Delgado,Having little thickness or width.,The book is thin.
Thirsty,Sediento,Feeling a need to drink.,She is thirsty after running.
